2014-12-13 12:00:48,637 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-12-13 12:00:48,645 | INFO  | Listening for connections at: stomp://moritz-ThinkPad-Edge-S430:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-12-13 12:00:48,649 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-12-13 12:00:48,656 | INFO  | Listening for connections at: mqtt://moritz-ThinkPad-Edge-S430:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-12-13 12:00:48,660 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-12-13 12:00:54,850 | INFO  | Listening for connections at ws://moritz-ThinkPad-Edge-S430:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-12-13 12:00:54,851 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-12-13 12:00:54,855 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:moritz-ThinkPad-Edge-S430-55455-1418468448453-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-12-13 12:00:54,857 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-12-13 12:00:55,419 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-12-13 12:00:55,478 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-12-13 12:00:55,841 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2014-12-13 12:03:18,927 | WARN  | Transport Connection to: tcp://127.0.0.1:36590 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36590@61616
2014-12-13 12:03:23,264 | WARN  | Transport Connection to: tcp://127.0.0.1:36625 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36625@61616
2014-12-13 12:28:38,237 | WARN  | Transport Connection to: tcp://127.0.0.1:36655 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36655@61616
2014-12-13 12:28:38,245 | WARN  | Transport Connection to: tcp://127.0.0.1:36656 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36656@61616
2014-12-13 12:29:58,850 | WARN  | Transport Connection to: tcp://127.0.0.1:36658 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36658@61616
2014-12-13 12:29:58,850 | WARN  | Transport Connection to: tcp://127.0.0.1:36659 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36659@61616
2014-12-13 12:33:00,533 | WARN  | Transport Connection to: tcp://127.0.0.1:36661 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36661@61616
2014-12-13 12:33:00,537 | WARN  | Transport Connection to: tcp://127.0.0.1:36662 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36662@61616
2014-12-13 12:33:07,394 | WARN  | Transport Connection to: tcp://127.0.0.1:36665 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36665@61616
2014-12-13 12:33:07,395 | WARN  | Transport Connection to: tcp://127.0.0.1:36664 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36664@61616
2014-12-13 12:34:59,608 | WARN  | Transport Connection to: tcp://127.0.0.1:36668 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36668@61616
2014-12-13 12:34:59,612 | WARN  | Transport Connection to: tcp://127.0.0.1:36667 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36667@61616
2014-12-13 12:35:36,086 | WARN  | Transport Connection to: tcp://127.0.0.1:36671 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36671@61616
2014-12-13 12:35:36,089 | WARN  | Transport Connection to: tcp://127.0.0.1:36670 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36670@61616
2014-12-13 12:52:15,245 | WARN  | Transport Connection to: tcp://127.0.0.1:36674 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36674@61616
2014-12-13 12:52:15,248 | WARN  | Transport Connection to: tcp://127.0.0.1:36673 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36673@61616
2014-12-13 12:53:53,809 | WARN  | Transport Connection to: tcp://127.0.0.1:36692 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36692@61616
2014-12-13 12:53:53,812 | WARN  | Transport Connection to: tcp://127.0.0.1:36693 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36693@61616
2014-12-13 13:02:55,374 | WARN  | Transport Connection to: tcp://127.0.0.1:36722 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36722@61616
2014-12-13 13:02:55,374 | WARN  | Transport Connection to: tcp://127.0.0.1:36721 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36721@61616
2014-12-13 13:06:07,109 | WARN  | Transport Connection to: tcp://127.0.0.1:36735 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36735@61616
2014-12-13 13:06:07,109 | WARN  | Transport Connection to: tcp://127.0.0.1:36736 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36736@61616
2014-12-13 13:13:48,365 | WARN  | Transport Connection to: tcp://127.0.0.1:36810 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36810@61616
2014-12-13 13:13:48,365 | WARN  | Transport Connection to: tcp://127.0.0.1:36811 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36811@61616
2014-12-13 13:15:37,960 | WARN  | Transport Connection to: tcp://127.0.0.1:36822 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36822@61616
2014-12-13 13:15:37,960 | WARN  | Transport Connection to: tcp://127.0.0.1:36823 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36823@61616
2014-12-13 13:50:41,441 | WARN  | Transport Connection to: tcp://127.0.0.1:36849 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36849@61616
2014-12-13 13:50:41,442 | WARN  | Transport Connection to: tcp://127.0.0.1:36848 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36848@61616
2014-12-13 13:55:21,095 | WARN  | Transport Connection to: tcp://127.0.0.1:36856 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36856@61616
2014-12-13 13:55:21,096 | WARN  | Transport Connection to: tcp://127.0.0.1:36857 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36857@61616
2014-12-13 13:59:43,945 | WARN  | Transport Connection to: tcp://127.0.0.1:36883 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36883@61616
2014-12-13 13:59:43,945 | WARN  | Transport Connection to: tcp://127.0.0.1:36882 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36882@61616
2014-12-13 14:06:49,698 | WARN  | Transport Connection to: tcp://127.0.0.1:36901 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:36901@61616
